PK,LOT,DATE CREATED,CLIENT,PROJECT,Date Sent,AVID,NOTES
PL1022,171025_AP9_11,10/24/2017,CINEFLIX NY,American Pickers,10/25/2017,HBIN_1758,
PL1039,171113_AP9_13 JAZZ,11/13/2017,CINEFLIX NY,American Pickers,11/13/2017,HBIN_1761,
PL1044,171115_Intake Bin_02,11/15/2017,Haus Internal,,,,
PL820,171115_IntakeBin_01,6/20/2017,Haus Internal,,,,
PL1047,171117_YoungHipHop,11/17/2017,LEFT/RIGHT TV,,11/17/2017,HBIN_1760,
PL1035,171119_AP9_12,11/10/2017,CINEFLIX NY,American Pickers,11/19/2017,,
PL1056,171205_Citizen Trump,12/5/2017,LEFT/RIGHT TV,Citizen Trump,12/5/2017,1763,
PL1085,180118_AP9_Carnival,1/18/2018,CINEFLIX NY,American Pickers,,,
PL1095,180205_AP9_20,2/5/2018,CINEFLIX NY,American Pickers,2/5/2018,HBIN_1807,
PL1115,180216_AP9 24,2/16/2018,Haus Internal,American Pickers,2/16/2018,HBIN_1812,
PL1114,180216_AP9_SpecialOp_Dramatic Tension,2/16/2018,CINEFLIX NY,American Pickers,,,
PL1118,180220_AP9_25,2/20/2018,Haus Internal,American Pickers,2/21/2018,HBIN_1812,
PL1119,180220_AP9_26,2/20/2018,CINEFLIX NY,American Pickers,2/21/2018,HBIN_1813,
PL1122,180222_AP9_28,2/22/2018,CINEFLIX NY,American Pickers,,,
PL1124,180223_AP9_29,2/23/2018,CINEFLIX NY,American Pickers,2/23/2018,HBIN_1816,
PL1136,180228_AP9_30 Luau Plus,2/28/2018,CINEFLIX NY,American Pickers,,,
PL1186,180315_AP9_31,3/15/2018,CINEFLIX NY,American Pickers,3/15/2018,1818,
PL1190,180327_AP9_32,3/27/2018,CINEFLIX NY,American Pickers,3/27/2018,HBIN_1819,
PL1193,180329_AP9_33,3/29/2018,CINEFLIX NY,American Pickers,3/29/2018,HBIN_1820,
PL1592,181026_AP_DANIELSAN,10/27/2018,Haus Internal,,,,
PL1671,190321_ModernMillenial,3/22/2019,CINEFLIX NY,,3/21/2019,SA PLAYLIST,
PL1672,190321_ModernMillenial2,3/22/2019,CINEFLIX NY,,3/21/2019,SA PLAYLIST,
PL1692,190410_AP1023 KSL Huey Lewis,4/10/2019,CINEFLIX NY,American Pickers,4/10/2019,HBIN1929,
PL2323,190806_LeftRight_Army Wives (LP),8/6/2019,LEFT/RIGHT TV,,8/6/2019,HBIN_1955,
PL1661,1910308_AETN SONGS FOR AP10,3/8/2019,CINEFLIX NY,American Pickers,3/15/2019,,All of these songs were given to A&E
PL2378,191108_LP_HBO Surf Teaser,11/8/2019,HBO,,11/8/2019,,
PL2381,191108_LR_LP Hip Hop and POP,11/11/2019,LEFT/RIGHT TV,,11/8/2019,HBIN_1969,
PL2365,191108_OGILVYDE_Romantic Ideas,10/31/2019,Ogilvy DE,,11/8/2019,NONE,
PL3018,191217_ADJ_Six + One BRONX ZOO Holiday Lights,5/27/2021,CL026,,12/17/2019,,
PL2431,200111_LR_JSwim LIBRARY PULL,1/13/2020,LEFT RIGHT,Johnny Swim,1/13/2020,HBIN_2004,
PL3020,200207_SMALL ARMY_Kennebunk Savings Bank,6/2/2021,CL043,,02/07/2020,,
PL2500,200421_ALEX_Kinderbatallion LP,4/22/2020,Haus Internal,,4/21/2020,N/A,
PL3206,201112_Six+One_BronxZooChristmas_ROUND1,4/13/2022,Six + One,,11/12/2020,,
PL3143,201210_MELILLO_Udemy Educational,1/17/2022,CL033,,12/10/2020,,
PL3087,210122_Role Players Movie DRONES,8/31/2021,CL062,Role Players Movie,6/16/2021,,
PL3088,210122_Role Players Movie EPIC,8/31/2021,CL062,Role Players Movie,6/16/2021,,
PL3089,210122_Role Players Movie FULL,8/31/2021,CL062,Role Players Movie,6/16/2021,,
PL3090,210122_Role Players Movie Melancholic,8/31/2021,CL062,Role Players Movie,6/16/2021,,
PL3091,210122_Role Players Movie TENSE BEATS,8/31/2021,CL062,Roleplayers Movie,6/16/2021,,
PL3092,210122_Role Players Movie TENSE PULSE,8/31/2021,CL062,Role Players Movie,6/16/2021,,
PL2858,210129_Max's Special OP,1/29/2021,CL009,American Pickers,1/29/2021,HBIN_2112,
PL3033,210420_Six+One_BronxZoo_Eric Carle,6/9/2021,CL026,Bronx Zoo,4/20/2021,,
PL3145,210427_MELILLO_Truist LP,1/17/2022,Melillo Music,,04/27/2021,,
PL3144,210812_SCHOLZ_Sparkasse UEFA,1/17/2022,CL067,,8/12/2021,,
PL3133,210830_FILM DIMENSION_E-Cars,12/17/2021,CL059,,8/30/2021,,
PL3139,210901_FANZONE_Wolfsburg Launch,1/13/2022,CL055,,9/1/2021,,
PL3141,211007_THE CIRCUS_Texas,1/13/2022,LEFT RIGHT,The Circus,10/7/2021,,
