action,collision_sku,title,composer,correct_sku
MOVE,S33a2331,"Closer To Her",S33a,S33a23313
KEEP,S33a2341,"Sheriff",S33a,S33a2341
MOVE,S33a2341,"The Plot",S33a,S33a23413
KEEP,S33a2351,"Slower",S33a,S33a2351
MOVE,S33a2351,"In The Wood",S33a,S33a23513
KEEP,S33a2361,"Testimony",S33a,S33a2361
MOVE,S33a2361,"Real Patriots",S33a,S33a23613
KEEP,S33a2371,"Time 2",S33a,S33a2371
MOVE,S33a2371,"Year Earlier",S33a,S33a23713
KEEP,S33a2381,"Bridge",S33a,S33a2381
MOVE,S33a2381,"Not A Game",S33a,S33a23813
KEEP,S33a2391,"Ice Cream",S33a,S33a2391
MOVE,S33a2391,"Few Sentences",S33a,S33a23913
KEEP,S33a2401,"Rooms",S33a,S33a2401
MOVE,S33a2401,"These Smiles",S33a,S33a24013
KEEP,S33a2411,"Amp",S33a,S33a2411
MOVE,S33a2411,"Gone Missing",S33a,S33a24113
KEEP,S33a2421,"Cake",S33a,S33a2421
MOVE,S33a2421,"Run The Night",S33a,S33a24213
KEEP,S33a2431,"Choice",S33a,S33a2431
MOVE,S33a2431,"Fine Bottom Line",S33a,S33a24313
KEEP,S33a2441,"Ages",S33a,S33a2441
MOVE,S33a2441,"Room Of Lights",S33a,S33a24413
KEEP,S33a2451,"Birdie",S33a,S33a2451
MOVE,S33a2451,"Almost There Now",S33a,S33a24513
KEEP,S33a2461,"Brick",S33a,S33a2461
MOVE,S33a2461,"Pleasure To See You",S33a,S33a24613
KEEP,S33a2471,"Cabin",S33a,S33a2471
MOVE,S33a2471,"Be Here",S33a,S33a24713
KEEP,S33a2481,"Clouds",S33a,S33a2481
MOVE,S33a2481,"Time To Decide On",S33a,S33a24813
KEEP,S33a2491,"Clue",S33a,S33a2491
MOVE,S33a2491,"All The Times",S33a,S33a24913
KEEP,S33a2501,"Dates",S33a,S33a2501
MOVE,S33a2501,"Get Your Hands Up",S33a,S33a25013
KEEP,S33a2511,"Dew",S33a,S33a2511
MOVE,S33a2511,"This City",S33a,S33a25113
KEEP,S33a2521,"Distance",S33a,S33a2521
MOVE,S33a2521,"In The Dark Moment",S33a,S33a25213
KEEP,S33a2531,"Doors",S33a,S33a2531
MOVE,S33a2531,"Spinning Up",S33a,S33a25313
KEEP,S33a2541,"Duet",S33a,S33a2541
MOVE,S33a2541,"It Is A Test",S33a,S33a25413
KEEP,S33a2551,"Edge",S33a,S33a2551
MOVE,S33a2551,"This Place Is Running",S33a,S33a25513
KEEP,S33a2561,"Exits",S33a,S33a2561
MOVE,S33a2561,"I Can",S33a,S33a25613
KEEP,S33a2571,"Fields",S33a,S33a2571
MOVE,S33a2571,"Take On Me",S33a,S33a25713
KEEP,S33a2581,"Fight 2",S33a,S33a2581
MOVE,S33a2581,"Like A War",S33a,S33a25813
KEEP,S33a2591,"Freeway 2",S33a,S33a2591
MOVE,S33a2591,"Along The Road",S33a,S33a25913
KEEP,S33a2601,"Glass",S33a,S33a2601
MOVE,S33a2601,"Creators",S33a,S33a26013
KEEP,S33a2611,"Great River",S33a,S33a2611
MOVE,S33a2611,"More Of Something",S33a,S33a26113
KEEP,S33a2621,"Group",S33a,S33a2621
MOVE,S33a2621,"I Just Wanna Have Fun",S33a,S33a26213
KEEP,S33a2631,"Hell Canyon",S33a,S33a2631
MOVE,S33a2631,"Who She Is",S33a,S33a26313
KEEP,S33a2641,"Homes",S33a,S33a2641
MOVE,S33a2641,"Critical Training",S33a,S33a26413
KEEP,S33a2651,"Interstate",S33a,S33a2651
MOVE,S33a2651,"My Discipline",S33a,S33a26513
KEEP,S33a2661,"Interview",S33a,S33a2661
MOVE,S33a2661,"My Best Friends",S33a,S33a26613
KEEP,S33a2671,"Investment",S33a,S33a2671
MOVE,S33a2671,"Look Back Again",S33a,S33a26713
KEEP,S33a2681,"Jets",S33a,S33a2681
MOVE,S33a2681,"Walking Out",S33a,S33a26813
KEEP,S33a2691,"Mission",S33a,S33a2691
MOVE,S33a2691,"Ten PM",S33a,S33a26913
KEEP,S33a2701,"Neon",S33a,S33a2701
MOVE,S33a2701,"So Much To Ask",S33a,S33a27013
